regions,FOI_med,R0_med
AGO.1_1,0.000147507,0.886469576
AGO.10_1,5.92E-05,0.666983377
AGO.11_1,0.000118174,0.866348899
AGO.12_1,0.000206389,0.832597786
AGO.13_1,0.00011809,0.766459161
AGO.14_1,0.00014748,0.755569004
AGO.15_1,0.00011808,0.69207856
AGO.16_1,8.87E-05,0.73202042
AGO.17_1,0.000147495,0.796907337
AGO.18_1,0.000176905,0.914122765
AGO.2_1,0.000118195,0.749762131
AGO.3_1,0.0001181,0.679843436
AGO.4_1,8.86E-05,0.856221079
AGO.5_1,8.87E-05,0.694945603
AGO.6_1,0.000176905,0.816442036
AGO.7_1,0.000147477,0.745688962
AGO.8_1,5.93E-05,0.722113131
AGO.9_1,5.92E-05,0.649141462
BDI.1_1,0.000147421,0.83147099
BDI.10_1,8.86E-05,0.73811889
BDI.11_1,0.000147421,0.766184417
BDI.12_1,0.000117963,0.659287264
BDI.13_1,8.86E-05,0.710273736
BDI.14_1,8.85E-05,0.608187102
BDI.15_1,8.86E-05,0.710595253
BDI.16_1,8.86E-05,0.684235485
BDI.17_1,5.91E-05,0.689133377
BDI.2_1,0.000176905,0.915070435
BDI.3_1,0.000176905,0.78358005
BDI.4_1,0.00011797,0.700078966
BDI.5_1,5.91E-05,0.691369588
BDI.6_1,0.000206389,0.799042871
BDI.7_1,8.86E-05,0.646081507
BDI.8_1,8.86E-05,0.683355057
BDI.9_1,0.00011797,0.690686301
BEN.1_1,8.87E-05,0.978516175
BEN.10_1,0.000206389,1.034409909
BEN.11_1,0.000206389,1.045909418
BEN.12_1,0.000206389,1.055675856
BEN.2_1,8.86E-05,0.989215403
BEN.3_1,0.000206389,1.030790483
BEN.4_1,0.000147518,0.981425263
BEN.5_1,0.000176905,1.035814871
BEN.6_1,0.000176905,1.005372498
BEN.7_1,0.000206389,1.042899613
BEN.8_1,0.000176905,1.002009568
BEN.9_1,0.000176905,1.026612084
BFA.1_1,8.88E-05,0.982770475
BFA.10_1,8.87E-05,0.985976626
BFA.11_1,0.000118173,0.997922288
BFA.12_1,8.87E-05,0.977803435
BFA.13_1,0.000118212,0.99925003
BFA.2_1,8.87E-05,0.961010398
BFA.3_1,0.000118174,1.01866146
BFA.4_1,0.000118174,0.992289642
BFA.5_1,8.87E-05,0.973141757
BFA.6_1,8.87E-05,0.983671944
BFA.7_1,8.87E-05,0.973241807
BFA.8_1,8.88E-05,0.992637709
BFA.9_1,8.87E-05,0.944031299
CAF.1_1,0.000176905,0.971129672
CAF.10_1,0.000118014,0.838003925
CAF.11_1,0.000147445,0.888690216
CAF.12_1,0.000206389,0.94899411
CAF.13_1,0.000147463,0.875984801
CAF.14_1,0.00011801,0.880397675
CAF.15_1,0.000118048,0.898928846
CAF.16_1,0.000235873,0.931157576
CAF.17_1,8.87E-05,0.904266323
CAF.2_1,0.000265357,0.995934824
CAF.3_1,0.000206389,0.915482938
CAF.4_1,0.000176905,0.927115845
CAF.5_1,0.000147432,0.881181375
CAF.6_1,0.000176905,0.905207912
