"age","ISO","prop"
0,"AGO",0.0394354398263961
1,"AGO",0.037882383132616
2,"AGO",0.0364500942711936
3,"AGO",0.0351273250848963
4,"AGO",0.0339814939957584
5,"AGO",0.0328714877584965
6,"AGO",0.0318277363407967
7,"AGO",0.0308401904485797
8,"AGO",0.029898624484361
9,"AGO",0.0290046957001468
10,"AGO",0.0281598850445383
11,"AGO",0.0272955399716666
12,"AGO",0.0263779865311956
13,"AGO",0.0254322598066213
14,"AGO",0.0245196781221685
15,"AGO",0.0236310031794203
16,"AGO",0.0227512844496412
17,"AGO",0.0218802751080643
18,"AGO",0.021022488521855
19,"AGO",0.0201833548358843
20,"AGO",0.0193629798321951
21,"AGO",0.018571377544186
22,"AGO",0.0178144012448995
23,"AGO",0.0170895826866671
24,"AGO",0.016385955797704
25,"AGO",0.0157027801037094
26,"AGO",0.0150592021544558
27,"AGO",0.014462626692949
28,"AGO",0.0139041327669011
29,"AGO",0.0133660900358217
30,"AGO",0.0128511077901035
31,"AGO",0.0123518165474215
32,"AGO",0.0118623277740521
33,"AGO",0.0113852507603878
34,"AGO",0.0109273908178577
35,"AGO",0.0104857155278977
36,"AGO",0.0100605069759555
37,"AGO",0.00965201198679798
38,"AGO",0.00925772705207555
39,"AGO",0.00887698221884958
40,"AGO",0.00851221047410771
41,"AGO",0.00814595778076467
42,"AGO",0.00777021996423791
43,"AGO",0.00739353010932468
44,"AGO",0.00703193182587105
45,"AGO",0.00668133487488329
46,"AGO",0.00635365736653277
47,"AGO",0.00605616300110144
48,"AGO",0.00578278694146068
49,"AGO",0.00551882548364167
50,"AGO",0.00526530118739285
51,"AGO",0.00502838467188579
52,"AGO",0.00480902797550694
53,"AGO",0.00460405763696809
54,"AGO",0.00440850190025099
55,"AGO",0.00422253706876055
56,"AGO",0.00404122664715952
57,"AGO",0.0038615029562026
58,"AGO",0.00368410647019039
59,"AGO",0.00351189330428229
60,"AGO",0.00334260677489557
61,"AGO",0.00317829200152707
62,"AGO",0.00301997154392524
63,"AGO",0.00286450720148281
64,"AGO",0.00271232210237156
65,"AGO",0.00256845852397167
66,"AGO",0.00240386166515534
67,"AGO",0.00220604924485549
68,"AGO",0.00199035965929861
69,"AGO",0.00178256846628132
70,"AGO",0.00157491831598796
71,"AGO",0.00139780391542359
72,"AGO",0.00126818565213977
73,"AGO",0.00117111299740083
74,"AGO",0.00107495712036738
75,"AGO",0.000986488071787644
76,"AGO",0.000896784899373597
77,"AGO",0.00079823129603348
78,"AGO",0.000696610013448071
79,"AGO",0.000604932242899125
80,"AGO",0.000520623954675074
81,"AGO",0.000443473584690038
82,"AGO",0.00037492682086421
83,"AGO",0.00031385532140622
84,"AGO",0.000257826099328422
85,"AGO",0.000206521808501992
86,"AGO",0.000162974867491242
87,"AGO",0.000128066793320682
88,"AGO",0.000100281376708155
89,"AGO",7.66919811322917e-05
90,"AGO",5.74043886360326e-05
91,"AGO",4.19249496856528e-05
92,"AGO",2.96189720235058e-05
93,"AGO",2.03101522446897e-05
94,"AGO",1.38927083062634e-05
95,"AGO",1.02961188462663e-05
96,"AGO",7.51052504881753e-06
97,"AGO",4.68967057038841e-06
98,"AGO",2.04511949686111e-06
99,"AGO",4.23128171764368e-07
100,"AGO",1.2693845152931e-06
0,"ARG",0.0163315944834342
1,"ARG",0.016417391904284
2,"ARG",0.016475366130517
3,"ARG",0.016508044528019
4,"ARG",0.016581293798946
5,"ARG",0.0165349587577119
6,"ARG",0.0164791793492215
7,"ARG",0.0164160395418365
8,"ARG",0.0163476233039186
9,"ARG",0.0162701395866396
10,"ARG",0.0161796643219141
11,"ARG",0.0161082108109583
12,"ARG",0.0160698790950283
13,"ARG",0.0160487512030206
14,"ARG",0.0160241204705751
15,"ARG",0.016010818544862
16,"ARG",0.0159467919424294
17,"ARG",0.0158024438785657
18,"ARG",0.0156125145492584
19,"ARG",0.0154304776958741
20,"ARG",0.0152329440990341
21,"ARG",0.0151142465819205
22,"ARG",0.0151228041541293
23,"ARG",0.0152085350653505
24,"ARG",0.0152771286622779
25,"ARG",0.0153520850136714
26,"ARG",0.0153695105363556
27,"ARG",0.0152895216230673
28,"ARG",0.015145217898956
29,"ARG",0.0150167878061956
30,"ARG",0.0148969152856441
31,"ARG",0.0147582870498371
32,"ARG",0.0145982205437557
33,"ARG",0.0144306384496464
34,"ARG",0.0142458747014909
35,"ARG",0.0140145098735871
36,"ARG",0.0139074293715964
37,"ARG",0.0139986584121123
38,"ARG",0.0141952387042763
39,"ARG",0.0143569014414432
40,"ARG",0.0145437269880842
41,"ARG",0.0144987443092976
42,"ARG",0.0140902643405234
43,"ARG",0.0134505082233502
44,"ARG",0.0128425658785076
45,"ARG",0.0122124314876002
46,"ARG",0.0116729718903041
47,"ARG",0.0113064373272787
48,"ARG",0.0110561172552336
49,"ARG",0.0107773310621625
50,"ARG",0.0104921156049967
51,"ARG",0.0102501092365225
52,"ARG",0.0100592931121675
53,"ARG",0.00990483558476186
54,"ARG",0.00976172903396472
55,"ARG",0.00963247865578543
56,"ARG",0.00949788533744469
57,"ARG",0.00934502404112459
58,"ARG",0.00917899383834848
59,"ARG",0.00901695421328631
60,"ARG",0.0088542273220623
61,"ARG",0.00867968388682979
62,"ARG",0.0084888234227225
63,"ARG",0.00828304263194031
64,"ARG",0.00806983493263495
65,"ARG",0.00785013145960634
66,"ARG",0.00760699442744643
67,"ARG",0.00733368419379389
68,"ARG",0.00703791587556235
69,"ARG",0.00673740320382645
70,"ARG",0.00643192447982432
71,"ARG",0.00611644714166114
72,"ARG",0.00579137024710832
73,"ARG",0.005461061261775
74,"ARG",0.0051299541608989
75,"ARG",0.00479753903732766
76,"ARG",0.00447820414070768
77,"ARG",0.00417970892770494
78,"ARG",0.00389741989419604
79,"ARG",0.00361834549273448
80,"ARG",0.00334463620131055
81,"ARG",0.00308305383216176
82,"ARG",0.00283568235364983
83,"ARG",0.00260030477815592
84,"ARG",0.00237375081338505
85,"ARG",0.00215772753980374
86,"ARG",0.00194538446566974
87,"ARG",0.00173326309029762
88,"ARG",0.00152517663239182
89,"ARG",0.00132917275700878
90,"ARG",0.00114445334860572
91,"ARG",0.000971639163715912
92,"ARG",0.000812104734663052
93,"ARG",0.000666093930085212
94,"ARG",0.000531079384096896
95,"ARG",0.000405775243879169
96,"ARG",0.000302175412450039
97,"ARG",0.00022531245170431
98,"ARG",0.000169466533585334
99,"ARG",0.000101161145048388
100,"ARG",0.000181593455860475
0,"BDI",0.0383956460344165
1,"BDI",0.0372546631389445
2,"BDI",0.0360968641043795
3,"BDI",0.034926020775004
4,"BDI",0.0337404043888551
5,"BDI",0.0326013074155244
6,"BDI",0.0314485375066695
7,"BDI",0.0302863379871082
8,"BDI",0.0291189521816583
9,"BDI",0.0279646892511082
10,"BDI",0.0268419369363352
11,"BDI",0.0256838235814133
12,"BDI",0.024466225098952
13,"BDI",0.0232358966420371
14,"BDI",0.0220581382648102
15,"BDI",0.0209133049449664
16,"BDI",0.0199255532234731
17,"BDI",0.0191612046956318
18,"BDI",0.0185666677405946
19,"BDI",0.0180029341805315
