"region","FOI_025","FOI_25","FOI_50","FOI_75","FOI_975","FOI_mean","R0_025","R0_25","R0_50","R0_75","R0_975","R0_mean"
"BDI.9_1",5.44375631992883e-07,6.96614915047857e-07,7.92993377490296e-07,9.03193010127267e-07,1.13892954138293e-06,8.08287971365855e-07,0.449001887482978,0.532764920946024,0.569140221804825,0.599863773148412,0.640450725864602,0.562507309497431
"BEN.1_1",4.08471943688999e-07,5.23775633950819e-07,5.95788043545925e-07,6.78539414445154e-07,8.55487453540716e-07,6.07686833114936e-07,0.658716728804588,0.781829133348368,0.835170790965187,0.88091745617446,0.938108695765651,0.825435180705129
"BEN.10_1",9.52257133800644e-07,1.21827246806893e-06,1.3857691531966e-06,1.57900333049007e-06,1.98754309287915e-06,1.41361236744001e-06,0.663962368884038,0.787983897274533,0.841613615514615,0.887275522217465,0.948181303360563,0.831813654842128
"BEN.11_1",9.52261268119877e-07,1.2189304108561e-06,1.38609350309835e-06,1.57953084043981e-06,1.98985798652771e-06,1.41417612054888e-06,0.671670185011291,0.797373522435313,0.851404562630391,0.898224759023105,0.959188566417725,0.841672386377905
"BEN.12_1",9.52257626175302e-07,1.21827096845804e-06,1.38573225712999e-06,1.57924460394338e-06,1.98723496561438e-06,1.41360868669051e-06,0.678999716142239,0.805555558614447,0.860444283307683,0.907188460872449,0.969139395445485,0.850487586023897
"BEN.2_1",4.08371425594134e-07,5.23588274511979e-07,5.95627704554309e-07,6.78282807060873e-07,8.55357761878202e-07,6.07326638507104e-07,0.665977763649466,0.790818925004874,0.844457217318237,0.890712396316363,0.948974932613293,0.834719636771082
"BEN.3_1",9.52256900816466e-07,1.21827418259733e-06,1.38608797332101e-06,1.57899213921562e-06,1.98782994554455e-06,1.41366606295908e-06,0.661285945040802,0.784828807648133,0.838351867988935,0.883699348695804,0.944359195922568,0.828571252729769
"BEN.4_1",6.80217129665744e-07,8.70955952382619e-07,9.91223275390954e-07,1.12869284624369e-06,1.42352961773225e-06,1.01059955689322e-06,0.643835001776324,0.763319283223026,0.815754126036883,0.860018925290187,0.917082327415529,0.806256804799855
"BEN.5_1",8.16228030469642e-07,1.04451405738365e-06,1.18846727600694e-06,1.35404913862007e-06,1.70607526734012e-06,1.2121476731866e-06,0.6735870523106,0.799087914559341,0.853450955987761,0.899956806147184,0.960268336407172,0.843457954196139
"BEN.6_1",8.16224701492436e-07,1.04460906448008e-06,1.1883810551282e-06,1.35382059589539e-06,1.70507774449613e-06,1.21202190567059e-06,0.65217278565964,0.77402311979499,0.826374561243997,0.871013369171127,0.929615345880047,0.816822276318026
"BEN.7_1",9.52256680640489e-07,1.21827048248787e-06,1.38561560636145e-06,1.57884535715591e-06,1.98707044432577e-06,1.41345417493011e-06,0.670092674800114,0.794987849200716,0.849287960248211,0.895410618717866,0.956428008593262,0.839305980431562
"BEN.8_1",8.16225949267302e-07,1.04423033175278e-06,1.18825221869219e-06,1.35360748704096e-06,1.70499348295272e-06,1.21161012553737e-06,0.650214480772329,0.770755283870313,0.823419068313807,0.868165370293894,0.926923356417291,0.813948050412515
"BEN.9_1",8.16224501438762e-07,1.04438510126499e-06,1.18819401733871e-06,1.35386176751649e-06,1.70506397031592e-06,1.21199564496933e-06,0.667043312295643,0.791354370969667,0.845160296981793,0.890865585534993,0.950694881441981,0.835322432780487
"BFA.1_1",4.08389314330004e-07,5.23867746170493e-07,5.95975432780986e-07,6.78710828273881e-07,8.56798544786411e-07,6.08216273316504e-07,0.661563967300212,0.785450667844233,0.838766792491859,0.885020359209805,0.942330636758181,0.829117991847876
"BFA.10_1",4.08386279627917e-07,5.23776113932242e-07,5.95733536519931e-07,6.7863176959321e-07,8.56560896199301e-07,6.07937478183426e-07,0.663950561474798,0.788238750605091,0.841554147437672,0.887901983861838,0.945604248736375,0.831892692773627
"BFA.11_1",5.44500937812693e-07,6.97191158102317e-07,7.93768930173903e-07,9.03870915637565e-07,1.14149799767564e-06,8.09611151596936e-07,0.664044082278336,0.788378783123385,0.842324790194257,0.888243460883329,0.946441374141196,0.832362417537516
"BFA.12_1",4.08388826165618e-07,5.23819418185729e-07,5.95776343931764e-07,6.7859301584487e-07,8.56751864667551e-07,6.08077069096332e-07,0.658194705842493,0.781400889993941,0.834455985922811,0.880422020353469,0.937436936489894,0.824778254171691
"BFA.13_1",5.44488172398098e-07,6.98812579236771e-07,7.94137965352519e-07,9.04625617390339e-07,1.14195408243811e-06,8.10067885907582e-07,0.666086796406367,0.791932769860306,0.848677548253782,0.895253996051277,0.983498853951092,0.8404310610404
"BFA.2_1",4.08389677300811e-07,5.23772607201324e-07,5.95927225003974e-07,6.78682374069853e-07,8.56738403446493e-07,6.0816934133315e-07,0.646373581222283,0.767389573334643,0.819527303150134,0.864699497778552,0.920649299637328,0.810107919322406
"BFA.3_1",5.4450980701833e-07,6.9784794447704e-07,7.93958865432324e-07,9.04226864703115e-07,1.14207953677157e-06,8.09921353519536e-07,0.678246810765566,0.80527871613993,0.860521889054287,0.907338577611303,0.966654324231252,0.850364792140242
"BFA.4_1",5.44510226124794e-07,6.97256497504831e-07,7.93775824972352e-07,9.0420150636368e-07,1.1420795530029e-06,8.09771590404235e-07,0.660009274593415,0.78361907506939,0.837307981423115,0.882945452422117,0.940685602834418,0.827422333518877
"BFA.5_1",4.0838749386973e-07,5.23831940342544e-07,5.95934141100215e-07,6.78638608188654e-07,8.5679794018485e-07,6.08096783474785e-07,0.654940913723518,0.777526925715248,0.830374498695909,0.876160195915905,0.932753910728987,0.820786650659501
"BFA.6_1",4.08388417508883e-07,5.23781307584296e-07,5.9570557923112e-07,6.78529910527486e-07,8.56560683640356e-07,6.07962035404022e-07,0.66230122303108,0.786231011164098,0.839446421773968,0.885629139969471,0.94327805156242,0.829792249688121
"BFA.7_1",4.0838780494279e-07,5.23767594197651e-07,5.95703531763661e-07,6.78665683285425e-07,8.56633993953623e-07,6.07926664645977e-07,0.65512125583829,0.777690697795843,0.830338003895781,0.876047302263068,0.933045533752665,0.820801831081121
"BFA.8_1",4.08388721169431e-07,5.24845308766316e-07,5.96955869216666e-07,6.79358257397328e-07,8.59424083894574e-07,6.08802488906527e-07,0.669940608974058,0.796307272244756,0.853350527412268,0.90023291272372,0.988376891014458,0.844969790201368
"BFA.9_1",4.08387244925861e-07,5.24843735002636e-07,5.96955858325668e-07,6.79357487925983e-07,8.59424460656547e-07,6.08703461948469e-07,0.635819914877436,0.75572277947242,0.810476067561176,0.854831489431399,0.944500687712355,0.802490417295434
"CAF.1_1",8.16221067993552e-07,1.04480845714873e-06,1.18896357982741e-06,1.35391274653021e-06,1.70354828378588e-06,1.21204327764491e-06,0.627958939510275,0.745469333045792,0.795905470472849,0.839155693546694,0.895746901967185,0.786633668116421
"CAF.10_1",5.44179540766583e-07,6.96644492682898e-07,7.93006149142323e-07,9.02992498051674e-07,1.13873959162006e-06,8.08338304078272e-07,0.551656282540129,0.654883913694795,0.699717700419813,0.737525262755538,0.787016564421013,0.691629776761059
"CAF.11_1",6.80200405774328e-07,8.7074678645561e-07,9.90924727353057e-07,1.12850855719822e-06,1.42097388835701e-06,1.01019067527587e-06,0.578889847172645,0.686951586735193,0.733500176581988,0.773093941398388,0.824976522118336,0.724997655452407
"CAF.12_1",9.52264648857082e-07,1.21876170693755e-06,1.38631432216198e-06,1.57969372281375e-06,1.98924486379392e-06,1.4143083649744e-06,0.603041701603095,0.717801320791707,0.769481271597831,0.81215887093286,0.901548431247673,0.76299324394632
"CAF.13_1",6.80201349795469e-07,8.70768642377141e-07,9.90984319997778e-07,1.12855157793257e-06,1.42123944091759e-06,1.01021916684193e-06,0.569986698396911,0.676399914677915,0.722247478616731,0.761503890728397,0.812289106440416,0.713941930257751
"CAF.14_1",5.44191343999886e-07,6.9666772949798e-07,7.93412754040519e-07,9.03146571696058e-07,1.13890476421338e-06,8.0837882421586e-07,0.581362006706949,0.690150263514339,0.73743892273529,0.777283547945918,0.829050137895711,0.728855132574467
"CAF.15_1",5.44191237808644e-07,6.96678577127089e-07,7.93367871289875e-07,9.03194670655495e-07,1.13889837230854e-06,8.08456486236719e-07,0.594246769772255,0.705656428103817,0.753914359794115,0.794649121427676,0.847455137863314,0.74516718161534
"CAF.16_1",1.08829344022539e-06,1.39212857314175e-06,1.58331347766299e-06,1.80375974145953e-06,2.26990657850915e-06,1.61501799710489e-06,0.581378084407721,0.690494400446516,0.738110701938225,0.777481771474575,0.833582855791407,0.72906856982027
"CAF.17_1",4.08383625478182e-07,5.23608195098979e-07,5.95705394859123e-07,6.78513076056417e-07,8.56620025715018e-07,6.07665347473968e-07,0.606976599392871,0.720540068173382,0.769653296016338,0.811949433336633,0.864745846000393,0.76062821076917
"CAF.2_1",1.22433880283388e-06,1.56628384028939e-06,1.78103812504198e-06,2.02945183821086e-06,2.55734701509785e-06,1.81739469196276e-06,0.61725046288076,0.734334975317488,0.787767302804413,0.830889451925089,0.92385854347899,0.781010409876763
"CAF.3_1",9.52264647761454e-07,1.21861995686797e-06,1.38601910864021e-06,1.57965406716105e-06,1.98921784967363e-06,1.41412303792797e-06,0.579551226016938,0.68999627873021,0.739448191589215,0.780761818182155,0.870336847253307,0.733578580882715
"CAF.4_1",8.16220025621195e-07,1.04442447943377e-06,1.1881906360233e-06,1.35367896320131e-06,1.70325767468667e-06,1.21181843489852e-06,0.597618659936855,0.709451090479902,0.757336219535666,0.798252041134869,0.852897073242561,0.74867758321143
"CAF.5_1",6.8019249414622e-07,8.70628248197001e-07,9.90820328677037e-07,1.12851802955503e-06,1.42093478553078e-06,1.01015335804983e-06,0.573573760530169,0.680651163784565,0.726771343873526,0.766078008343428,0.817310688100056,0.71834831230677
"CAF.6_1",8.16227978194035e-07,1.04490807059174e-06,1.18896007208967e-06,1.35464670954022e-06,1.70509036635846e-06,1.21249687853217e-06,0.582019605042655,0.692764697348043,0.7424208441163,0.783781886671605,0.873190215488253,0.736341069510825
"CAF.7_1",1.22433002243361e-06,1.56622463010332e-06,1.78146307397654e-06,2.02876603183385e-06,2.55421875640638e-06,1.81698777566134e-06,0.578041697138234,0.687181549571493,0.73444801372676,0.773990604301711,0.829332985518774,0.72552527595001
"CAF.8_1",1.22433002234434e-06,1.56609137451095e-06,1.78137008914698e-06,2.02876652099399e-06,2.55399192965569e-06,1.81693217222307e-06,0.583377764737062,0.693007680717849,0.741317352017573,0.78112105577164,0.836819704616252,0.732189723497294
"CAF.9_1",9.52256702323747e-07,1.21836653090653e-06,1.3858908337268e-06,1.57900292227251e-06,1.98696507169371e-06,1.41362330694447e-06,0.586225623913581,0.696247912568248,0.743846002314353,0.783851005925455,0.83776066715523,0.734889603906899
"CIV.1_1",8.16239676708282e-07,1.04493734471934e-06,1.18903506087868e-06,1.35464631261913e-06,1.70642493980952e-06,1.2126206945178e-06,0.635634343546341,0.756014524907146,0.810348343184473,0.854958062044848,0.944400767483592,0.803065383131293
"CIV.10_1",5.44499096146534e-07,6.97255668277153e-07,7.93760728758398e-07,9.03871748864205e-07,1.13984286332424e-06,8.09411078656113e-07,0.633585560330129,0.752246445391935,0.803919548439234,0.847628461895422,0.902989832243423,0.794445070524282
"CIV.11_1",9.52265097022846e-07,1.21881020146863e-06,1.3866278968508e-06,1.5797801322849e-06,1.98922811692366e-06,1.41435631930749e-06,0.654227102223914,0.778293516788779,0.834155070515657,0.879801197525042,0.969570058094391,0.826617991602953
"CIV.12_1",5.44484295603377e-07,6.96764883480247e-07,7.93671033880996e-07,9.03327760373309e-07,1.1389358491531e-06,8.08645136818339e-07,0.615027398653842,0.730178149285778,0.780262779770716,0.822552618074954,0.876776501546534,0.771173512871354
"CIV.13_1",1.08829340857528e-06,1.39214774315652e-06,1.58338268954404e-06,1.80397931312405e-06,2.27006631562408e-06,1.61515491882691e-06,0.633388791416679,0.752141288001975,0.803944865551794,0.84676577914475,0.906798492820236,0.794011686111513
"CIV.14_1",1.08829601176506e-06,1.39239220113005e-06,1.58360990295541e-06,1.80466061765438e-06,2.27367861428821e-06,1.61571761683812e-06,0.649977385702354,0.772124412420537,0.825102339599122,0.869654237454578,0.929587685626146,0.815039434018671
"CIV.2_1",1.22433002393771e-06,1.56609451603251e-06,1.78145002818336e-06,2.02927346093629e-06,2.55417253913631e-06,1.8171096670053e-06,0.62948240385277,0.747843560348446,0.799787697117478,0.84226305633671,0.902817098671678,0.78979325560055
"CIV.3_1",1.08830130842195e-06,1.39231107170925e-06,1.58362543955022e-06,1.80525832298904e-06,2.27336428765036e-06,1.61591581790977e-06,0.650227649808863,0.773696766106731,0.829257548620344,0.874835621414468,0.965367525611096,0.821936594266193
"CIV.4_1",4.0836302739055e-07,5.2278519009409e-07,5.95270722049463e-07,6.78059150359657e-07,8.54684931306853e-07,6.06757257127711e-07,0.600497727275674,0.712978919723759,0.761397543088495,0.802897728196667,0.855754926177005,0.752597968759868
"CIV.5_1",9.52264634643276e-07,1.21842104851083e-06,1.38617034304061e-06,1.57975425254388e-06,1.98917781603662e-06,1.41408359889198e-06,0.638897168418697,0.759898108589445,0.814507395693164,0.859206312797128,0.947320345754784,0.807263091933294
"CIV.6_1",1.49641134809783e-06,1.91442545971261e-06,2.1771632737576e-06,2.47998892711554e-06,3.12526286824265e-06,2.2211413825285e-06,0.657185151739173,0.7824990712277,0.839309017743171,0.884831086665654,0.982246286512533,0.831987170347864
"CIV.7_1",1.08829337536674e-06,1.39231045840202e-06,1.58346566199424e-06,1.8041785628597e-06,2.27025714823692e-06,1.6152903860514e-06,0.646678924361534,0.768049291114393,0.820707660071261,0.864413294899125,0.924967976681992,0.810716633383944
"CIV.8_1",1.49641130813979e-06,1.91442574038845e-06,2.1771804674661e-06,2.48008634361072e-06,3.12528380467278e-06,2.22114490212587e-06,0.605975172387904,0.72223149906634,0.774594961249115,0.817154141215502,0.916331128501681,0.768328477596764
"CIV.9_1",1.08830137259655e-06,1.3926240982534e-06,1.58375949114399e-06,1.80522434244021e-06,2.27338373955184e-06,1.61602197785217e-06,0.630098859325761,0.749808037971246,0.803992913872734,0.848183963826536,0.939139022510086,0.797032711565969
"CMR.1_1",9.5226466797294e-07,1.21878192292307e-06,1.38624521011072e-06,1.57968438844983e-06,1.98924423672227e-06,1.41428847927871e-06,0.547530131005969,0.652413539145249,0.699093566172337,0.738994446847528,0.827785541071545,0.693955939099913
"CMR.10_1",1.36037462418563e-06,1.74038363133794e-06,1.97906775506317e-06,2.25467141879302e-06,2.84125386571343e-06,2.01915740513476e-06,0.577175037643173,0.687444636819023,0.737457494486394,0.778112595996646,0.872633998510037,0.731768493308103
"CMR.2_1",1.76848466138577e-06,2.26250088383869e-06,2.57290236519674e-06,2.93063813181973e-06,3.69113759481854e-06,2.62460052957273e-06,0.599336072747677,0.714851425006419,0.766784439128441,0.809477678886823,0.911357293577161,0.76096405974737
"CMR.3_1",1.36037463952269e-06,1.74038809969726e-06,1.97931361950846e-06,2.25469181662855e-06,2.84125950010279e-06,2.01935237689148e-06,0.569449279159751,0.678810432288117,0.728012269427191,0.768198235933953,0.863807402885967,0.722411771282242
"CMR.4_1",4.08472792238835e-07,5.24122227679441e-07,5.96529442001215e-07,6.79157791960293e-07,8.56797052345902e-07,6.07747270125233e-07,0.661793742808662,0.786677655300476,0.842810210991527,0.889278046810643,0.976234752515742,0.834551064905604
"CMR.5_1",1.76848465638032e-06,2.26192903179423e-06,2.57265815438106e-06,2.93060231128304e-06,3.69117739918998e-06,2.62441478294801e-06,0.624093416004573,0.743619597070463,0.797983063554166,0.841602159981351,0.942273986801983,0.791504230199986
"CMR.6_1",9.52264640015179e-07,1.21842322818181e-06,1.38591351388054e-06,1.5796068900459e-06,1.98917825361802e-06,1.41403804876735e-06,0.551605329133519,0.65672780589213,0.703924799205855,0.744043947154729,0.832184726075964,0.698693317347833
"CMR.7_1",5.44486052990201e-07,6.98123028261496e-07,7.94059629638396e-07,9.04611985732226e-07,1.14192054875775e-06,8.0949461222504e-07,0.619261718800494,0.736902716884454,0.789399661290995,0.833462703209066,0.921931854349343,0.782102063471476
"CMR.8_1",8.16227973904182e-07,1.04481377429027e-06,1.18856276916399e-06,1.35432566585612e-06,1.70615624629313e-06,1.21240830621833e-06,0.553926503030991,0.65938504742381,0.706642159314537,0.746673543533047,0.835127676893211,0.701254102446648
"CMR.9_1",1.0883013571079e-06,1.39252737532567e-06,1.58363639561431e-06,1.80467754356816e-06,2.2733835494126e-06,1.61598365689361e-06,0.605345824046456,0.720546009210892,0.772562380295009,0.815447764930068,0.90690253484754,0.766223986284063
"COD.1_1",1.76847667615551e-06,2.26140555730329e-06,2.57273668907308e-06,2.93013918044159e-06,3.68860455271105e-06,2.62390429659798e-06,0.60132602775365,0.715384618902022,0.765062505032569,0.806639899533831,0.865764074504968,0.756303063423327
"COD.10_1",8.16239181863444e-07,1.04491202764113e-06,1.18911511998339e-06,1.35449164656199e-06,1.70660829038281e-06,1.21271788353852e-06,0.555660193945841,0.661515799485925,0.70903442808908,0.749544652349558,0.837465618303712,0.703639619058905
"COD.11_1",9.52257682738247e-07,1.21870514653972e-06,1.38627839393587e-06,1.57936760481226e-06,1.98927581449303e-06,1.41400717718958e-06,0.557711059503498,0.662469479579168,0.708057178276073,0.746349791615236,0.79838123466079,0.699517349922587
"COD.12_1",9.52257108856555e-07,1.21836503689146e-06,1.38596404184119e-06,1.57877753409846e-06,1.98833120051187e-06,1.41383625117968e-06,0.516120518454931,0.613570746563114,0.655507474847848,0.690724761792647,0.739887999449117,0.647559626114084
"COD.13_1",9.52257798541385e-07,1.21859978425768e-06,1.38630197124438e-06,1.57935044113748e-06,1.98925253986851e-06,1.41393279143636e-06,0.565223093241064,0.671428330243392,0.717520623784008,0.756430413832232,0.808934050532274,0.708889639490899
"COD.14_1",5.44487344350205e-07,6.96878607343974e-07,7.93555023222226e-07,9.03922576579626e-07,1.13957737998849e-06,8.08875501336563e-07,0.566869267959002,0.672867568849532,0.719219086069774,0.758306192233318,0.808818812636672,0.710900763427577
"COD.15_1",6.80209286950406e-07,8.70832737304789e-07,9.9112795180538e-07,1.12860723279365e-06,1.42282577614637e-06,1.01030719522869e-06,0.505916529581387,0.600761687041663,0.641598815905855,0.676504279682063,0.722325531660587,0.634169462655876
"COD.16_1",1.63244009818525e-06,2.08775101963381e-06,2.3750771841321e-06,2.70501745895991e-06,3.4051411115451e-06,2.42226768417068e-06,0.596186996241107,0.709224266173577,0.758351127841989,0.799388072259148,0.856646037869651,0.74950085663736
"COD.17_1",1.76847684679624e-06,2.26144665672343e-06,2.57297795983183e-06,2.93040543296286e-06,3.68885587270875e-06,2.62401948192653e-06,0.577427024126741,0.687082176820228,0.734861018963196,0.774950995030181,0.831524728217774,0.726525751989233
"COD.18_1",2.04055001256979e-06,2.60926985601365e-06,2.96847718752065e-06,3.38069698402009e-06,4.25574271427692e-06,3.02732436409384e-06,0.610042771241652,0.726079766792197,0.776625630393058,0.819008774760209,0.880800068295259,0.768023738382776
"COD.19_1",1.63244042648368e-06,2.08761773778483e-06,2.37509484954098e-06,2.70501955590386e-06,3.40525527077775e-06,2.42234986931201e-06,0.510383268126159,0.607342627184993,0.64964316731565,0.684987007586183,0.736633184868844,0.642523684063615
