"region","FOI_025","FOI_25","FOI_50","FOI_75","FOI_975","FOI_mean","R0_025","R0_25","R0_50","R0_75","R0_975","R0_mean"
"AGO.1_1",6.80203922026137e-07,8.71081008379081e-07,9.91187845224116e-07,1.12873444424742e-06,1.42335193066403e-06,1.01076371937779e-06,0.57708705495284,0.684850308686023,0.731210408576753,0.771229730292902,0.822569893759309,0.722943189881396
"AGO.10_1",2.7231779244295e-07,3.49972764105951e-07,3.97733332909566e-07,4.52857839567287e-07,5.71821472428308e-07,4.05729225375125e-07,0.449195830616818,0.533527909867528,0.57045204825918,0.601091531303567,0.640102069287195,0.56328661694565
"AGO.11_1",5.44505688056445e-07,6.9744034772619e-07,7.9376169806214e-07,9.0420385082483e-07,1.14142867011149e-06,8.09630416330493e-07,0.571253083400978,0.678352630590931,0.724859213804484,0.764606295764431,0.815301524632664,0.716516816814919
"AGO.12_1",9.5225678069169e-07,1.21849509550616e-06,1.38591465941885e-06,1.57879791509391e-06,1.98731790567891e-06,1.41372247894822e-06,0.520903853932169,0.618972985340011,0.66152874084744,0.69692317194976,0.746582221452889,0.653472925659956
"AGO.13_1",5.44188841865552e-07,6.96765095035564e-07,7.93412141403369e-07,9.03489220240211e-07,1.13913171548658e-06,8.08642960663689e-07,0.50178756858322,0.595222557806406,0.635896616111416,0.670580950351085,0.715395786661318,0.628679604472328
"AGO.14_1",6.80205658447779e-07,8.70849072354353e-07,9.91044868822256e-07,1.12860678308023e-06,1.42240035614317e-06,1.01032216322092e-06,0.485620084843278,0.576779200133547,0.615975551857117,0.64961060287138,0.693688081444468,0.608862214875015
"AGO.15_1",5.44465787258549e-07,6.96764896400469e-07,7.93177536556398e-07,9.03597068261496e-07,1.13936703608799e-06,8.08747185645507e-07,0.449524545892057,0.53364532340706,0.570255681127719,0.601172489683903,0.641273240101274,0.563500405752738
"AGO.16_1",4.08377761731033e-07,5.23409452540865e-07,5.95462272657458e-07,6.78170148333989e-07,8.55459879790462e-07,6.07422647211298e-07,0.486146497732171,0.577369099279426,0.61689831714078,0.650535420221718,0.693028746828415,0.609672800115459
"AGO.17_1",6.80210659349073e-07,8.70822808435887e-07,9.91169720695773e-07,1.12869090055255e-06,1.42297200674101e-06,1.0103243479356e-06,0.514838071562821,0.611371506762187,0.65272357924138,0.688388163071468,0.734755311631028,0.64530396386901
"AGO.18_1",8.16221593525836e-07,1.04475596059432e-06,1.18861884480839e-06,1.35390466864571e-06,1.70528476048717e-06,1.21216172296517e-06,0.58824461998951,0.698397827656307,0.745813128914804,0.786773237979912,0.839540172546853,0.737213091692573
"AGO.2_1",5.44498389955157e-07,6.97214634129812e-07,7.93738978548281e-07,9.03940210767487e-07,1.13964909751474e-06,8.09407213926623e-07,0.489601681979974,0.581279460055392,0.621088415827106,0.655053671014092,0.698210402171197,0.613816243685491
"AGO.3_1",5.44487272371892e-07,6.96798141475008e-07,7.93248395763947e-07,9.03805720438554e-07,1.13957571764462e-06,8.08749704759285e-07,0.440822566794156,0.523620316711492,0.559608307674692,0.589615734362816,0.628839226189878,0.55271159501878
"AGO.4_1",4.08362766434437e-07,5.22912285216206e-07,5.95269909857072e-07,6.78080311512151e-07,8.5463556314065e-07,6.06689613677299e-07,0.573843123633266,0.680993907717863,0.727295229322939,0.766635931440897,0.817549036434225,0.718902786397182
"AGO.5_1",4.08382318959015e-07,5.23743511659996e-07,5.95483016872677e-07,6.78462171478564e-07,8.56691495492193e-07,6.0774393503323e-07,0.459721394831874,0.546137768716738,0.583654001247801,0.615685804015067,0.655961691646941,0.576916901443732
"AGO.6_1",8.1622061999532e-07,1.04489494342548e-06,1.18820937717876e-06,1.35399458797632e-06,1.70503620324732e-06,1.21209237297955e-06,0.519261391318278,0.616795268719593,0.658690382769174,0.694759747967912,0.741749780570296,0.651006645779245
"AGO.7_1",6.8021007869351e-07,8.70955860373676e-07,9.91211592003806e-07,1.12873184157685e-06,1.42366332818358e-06,1.010447127122e-06,0.478609970660354,0.568311438909712,0.607069928200493,0.640424495655634,0.683682353791209,0.600099873562179
"AGO.8_1",2.72317278991521e-07,3.50287530745941e-07,3.98100612362854e-07,4.53309269708205e-07,5.71924422645404e-07,4.06226384435951e-07,0.487625601736559,0.579261792721263,0.618663006751516,0.652480952327305,0.694799556644684,0.611449742259761
"AGO.9_1",2.72317672338194e-07,3.49944985638265e-07,3.97509363644557e-07,4.52661848760023e-07,5.71294432650387e-07,4.05585984739895e-07,0.436805766612111,0.518744040135802,0.554575777850594,0.58451873400777,0.622445224615767,0.54764013083928
"BDI.1_1",6.80201697802911e-07,8.70196237200302e-07,9.90757795328369e-07,1.12819888376653e-06,1.4217292336676e-06,1.00996043744109e-06,0.539125120428875,0.639696349888212,0.683086484456168,0.720043647701208,0.768653372872427,0.675219770512772
"BDI.10_1",4.08363961930991e-07,5.22917991400797e-07,5.95273631499465e-07,6.78160781461837e-07,8.54755851146925e-07,6.06813591770967e-07,0.49069393618139,0.582397027155108,0.622544037341089,0.656335385623741,0.699394910579338,0.615244679773903
"BDI.11_1",6.80200640219137e-07,8.70562534814149e-07,9.90893835049133e-07,1.12827152720487e-06,1.42193234221202e-06,1.01013407087837e-06,0.493399176291005,0.585741784451681,0.625424246480099,0.65970055301859,0.704780425230449,0.618326442256652
"BDI.12_1",5.44180023763664e-07,6.96507308922155e-07,7.92968807212034e-07,9.03190932853061e-07,1.13889754388523e-06,8.08256650671191e-07,0.426927034967504,0.506704737426591,0.541252342476446,0.570541105020274,0.609005884468399,0.534945465910112
"BDI.13_1",4.08363489842592e-07,5.22908834062494e-07,5.95272161865183e-07,6.78106724768906e-07,8.54548436990948e-07,6.06635909093054e-07,0.471167935448677,0.55923815218541,0.597733606120587,0.630030402861291,0.671814660926717,0.590695907561291
"BDI.14_1",4.0836715592391e-07,5.22864928489082e-07,5.95168126925504e-07,6.78059267455313e-07,8.54674584197953e-07,6.06715778076421e-07,0.399847869790589,0.474080545149047,0.50684151415334,0.534271785346748,0.570064487525112,0.500892341095814
"BDI.15_1",4.08362873184789e-07,5.22930288790781e-07,5.95270242192049e-07,6.78151124148105e-07,8.54500538201756e-07,6.06574332427972e-07,0.471518187495477,0.559581132514247,0.598177378362921,0.630392000751141,0.672319845743917,0.591084949033537
"BDI.16_1",4.08369761484496e-07,5.22962372142179e-07,5.95291685643236e-07,6.78059489567695e-07,8.54671698002505e-07,6.06858432733838e-07,0.452698352797529,0.537326724998159,0.574417896591247,0.605594213998705,0.64576648961633,0.567681546453103
"BDI.17_1",2.72247157315793e-07,3.49775913389165e-07,3.97332220345562e-07,4.52366703267023e-07,5.70305868484747e-07,4.0507965507225e-07,0.464995914855015,0.551809684096725,0.589511670214067,0.621586872904625,0.662341393253023,0.582590331243983
"BDI.2_1",8.16221058370944e-07,1.04423277603835e-06,1.18823969165133e-06,1.35367163747245e-06,1.70501889037121e-06,1.21172130089928e-06,0.589329541568379,0.699203353389238,0.746791483829592,0.787361614532541,0.841151753841946,0.738206067866597
"BDI.3_1",8.16220266512879e-07,1.04423382977563e-06,1.18818399869731e-06,1.35346509417113e-06,1.70502984647975e-06,1.21168840075055e-06,0.496192942396075,0.589377817443866,0.629652093903441,0.663497065121639,0.70973324534921,0.622168761869044
"BDI.4_1",5.44352267267179e-07,6.96671647663916e-07,7.93034380555721e-07,9.03194134666588e-07,1.13892831790144e-06,8.08359253404258e-07,0.455511606418605,0.540445745604888,0.577361116837616,0.608749463515259,0.649725453675755,0.570652485621076
"BDI.5_1",2.72245457173934e-07,3.49499013233346e-07,3.97210541276543e-07,4.52367732328062e-07,5.70306686855006e-07,4.04981865748031e-07,0.46664822752461,0.553799374719887,0.591552367548594,0.623794122618655,0.66469336759416,0.584609747804465
"BDI.6_1",9.52256698147863e-07,1.21807125667471e-06,1.38552938700481e-06,1.57826848053274e-06,1.98670660457058e-06,1.41336666406128e-06,0.49741871784977,0.59093288126714,0.631899510258299,0.665558948547206,0.713971267753119,0.624113595365633
"BDI.7_1",4.08371633163301e-07,5.2327539163638e-07,5.95297512402509e-07,6.7821711930537e-07,8.554413885702e-07,6.07001869705216e-07,0.425924430486045,0.505589830487648,0.540630190682482,0.570075002062202,0.607742073103231,0.534262312024569
"BDI.8_1",4.08365262105911e-07,5.22747727170331e-07,5.95277678928015e-07,6.78059747742982e-07,8.54881453824322e-07,6.06667777070103e-07,0.452123903341302,0.536678085383876,0.573658739682808,0.604768283826466,0.644928391907204,0.566908943229683
